word,emotion
жив,anticipation
жив,joy
жив,trust
тврдење,anger
верност,trust
Алијанса,trust
сојузнички,trust
привлечност,anticipation
привлечност,joy
привлечност,surprise
сојузник,trust
алоха,anticipation
алоха,joy
раздразнување,anger
изненадување,surprise
неверојатно,joy
неверојатно,surprise
амбасадор,trust
амбиција,anticipation
амбиција,joy
амбиција,trust
брза помош,fear
брза помош,trust
заседа,anger
заседа,fear
заседа,surprise
амин,joy
амин,trust
пријателски,joy
амонијак,disgust
амнестија,joy
амортизација,trust
амфетамини,disgust
забавувај се,joy
забавуваше,joy
забава,joy
забавен,joy
anaconda,disgust
anaconda,fear
аналитичар,anticipation
аналитичар,trust
анархизам,anger
анархизам,fear
анархист,anger
анархист,fear
анархија,anger
анархија,fear
анатема,anger
анатема,disgust
анатема,fear
анатема,sadness
предците,trust
прицврстување,sadness
ангел,anticipation
ангел,joy
ангел,surprise
ангел,trust
ангелски,joy
ангелски,trust
лутина,anger
ангина,fear
риболов,anticipation
лути,anger
лути,disgust
болка,anger
анимиран,joy
непријателство,anger
непријателство,disgust
непријателство,fear
непријателство,sadness
анимус,anger
уништува,anger
уништува,fear
уништен,anger
уништен,fear
уништен,sadness
аннигилација,anger
аннигилација,fear
аннигилација,sadness
најава,anticipation
нервирај,anger
нервирај,disgust
вознемиреност,anger
вознемиреност,disgust
досадни,anger
поништување,sadness
аномалија,fear
аномалија,surprise
одговорно,trust
антагонизам,anger
антагонист,anger
антагонистички,anger
антагонистички,disgust
антракс,disgust
антракс,fear
антракс,sadness
антихрист,anger
антихрист,disgust
антихрист,fear
исчекување,anticipation
предвидено,anticipation
противотров,anticipation
противотров,trust
антифунгални,trust
антипатија,anger
антипатија,disgust
антисептик,trust
антисоцијален,anger
антисоцијален,disgust
антисоцијален,fear
антисоцијален,sadness
антитеза,anger
анксиозност,anger
анксиозност,anticipation
анксиозност,fear
анксиозност,sadness
нервозни,anticipation
нервозни,fear
apache,fear
апатичен,sadness
апатија,sadness
листопад,disgust
апологетски,trust
извини,sadness
извини,trust
апостол,trust
апостолски,trust
ужасни,disgust
ужасни,fear
сениште,fear
сениште,surprise
жалба,anticipation
апендицитис,fear
апендицитис,sadness
аплауз,joy
аплауз,surprise
аплауз,trust
апликант,anticipation
благодарност,joy
благодарност,trust
апсење,fear
приведување,fear
загрижен,anticipation
загрижен,fear
чирак,trust
се приближува,anticipation
одобрување,trust
одобри,joy
одобри,trust
арбитер,trust
арбитража,anticipation
археологија,anticipation
архитектура,trust
жесток,anticipation
жесток,joy
тврдат,anger
аргумент,anger
аргументација,anger
аргументи,anger
суви,sadness
вооружување,anger
вооружување,fear
вооружени,anger
вооружени,fear
оклоп,fear
оклоп,trust
оклопни,fear
оружје,trust
предизвикува,anticipation
arraignment,anger
arraignment,fear
arraignment,sadness
пристигнување,anticipation
пристигне,anticipation
арогантен,anger
арогантен,disgust
арсен,disgust
арсен,fear
арсен,sadness
подметнување пожар,anger
подметнување пожар,fear
art,anticipation
art,joy
art,sadness
art,surprise
артилерија,fear
засрамен,disgust
засрамен,sadness
пепел,sadness
asp,fear
аспирација,anticipation
аспирација,joy
аспирација,surprise
аспирација,trust
се стремат,anticipation
се стремат,joy
аспиранти,anticipation
аспиранти,joy
аспиранти,trust
нападам,anger
нападам,fear
нападам,surprise
напаѓач,anger
напаѓач,fear
напаѓач,sadness
атентатор,anger
атентатор,fear
атентатор,sadness
атентат,anger
атентат,fear
атентат,sadness
напад,anger
напад,fear
собрание,trust
тврдејќи,trust
проценка,surprise
проценка,trust
оценувач,trust
кретену,anger
кретену,disgust
assignee,trust
помош,trust
соработник,trust
здружение,trust
осигурување,trust
увери,trust
сигурно,trust
изненадување,joy
заблуди,fear
астролог,anticipation
астроном,anticipation
азил,fear
асиметрија,disgust
атеросклероза,fear
атеросклероза,sadness
atone,anticipation
atone,joy
atone,trust
крволочен,anger
крволочен,disgust
злосторство,anger
злосторство,disgust
злосторство,fear
злосторство,sadness
атрофија,disgust
атрофија,fear
атрофија,sadness
напад,disgust
напад,sadness
напад,surprise
остварливи,anticipation
обид,anticipation
посетеност,anticipation
придружник,trust
внимателен,trust
слабеењето,sadness
потврда,trust
адвокат,anger
адвокат,fear
адвокат,trust
аукција,anticipation
публика,anticipation
ревизор,fear
ревизор,trust
тетка,trust
Среќен,anticipation
Среќен,joy
строго,fear
строго,sadness
автентична,joy
автентична,trust
автентикација,trust
автентичност,trust
автор,trust
авторитативна,trust
авторитет,trust
овластување,trust
авторизирај,trust
автоматски,trust
аутопсија,disgust
аутопсија,fear
аутопсија,sadness
лавина,fear
лавина,sadness
лавина,surprise
страст,anger
страст,disgust
Одмазднички,anger
аверс,anger
аверс,disgust
аверс,fear
аверзија,anger
аверзија,disgust
аверзија,fear
избегнувајте,fear
избегнување,fear
чекај,anticipation
награда,anticipation
награда,joy
награда,surprise
награда,trust
Ужасно,anger
Ужасно,disgust
Ужасно,fear
Ужасно,sadness
непријатност,disgust
аксиома,trust
аксиоматски,trust
бабун,disgust
бебе,joy
бејбиситер,trust
'рбетот,anger
'рбетот,trust
поддржувач,trust
наназад,disgust
подводна вода,sadness
бактерија,disgust
бактерија,fear
бактерија,sadness
лошо,anger
лошо,disgust
лошо,fear
лошо,sadness
значка,trust
јазовец,anger
судски извршители,fear
судски извршители,trust
мамка,fear
мамка,trust
бала,fear
гласачко ливче,anticipation
гласачко ливче,trust
мелем,anticipation
мелем,joy
бен,anger
бен,disgust
бен,fear
тресне,anger
тресне,disgust
тресне,fear
тресне,sadness
тресне,surprise
бенџер,anger
бенџер,anticipation
бенџер,fear
бенџер,surprise
прогони,anger
прогони,disgust
прогони,fear
прогони,sadness
протерани,anger
протерани,fear
протерани,sadness
протерување,anger
протерување,disgust
протерување,sadness
банка,trust
банкар,trust
банкрот,fear
банкрот,sadness
банкрот,anger
банкрот,disgust
банкет,anticipation
банкет,joy
banshee,anger
banshee,disgust
banshee,fear
banshee,sadness
крштевка,joy
бар,anger
варварски,fear
варварски,anger
варварски,disgust
барф,disgust
зделка,trust
кората,anger
неплодна,sadness
барикада,fear
бариера,anger
Бароу,disgust
шанкер,trust
размена,trust
база,trust
кошарка,anticipation
кошарка,joy
копиле,disgust
копиле,sadness
бастион,anger
баталјон,anger
тесто,anger
тесто,fear
погоди,fear
погоди,sadness
батерија,anger
битка,anger
се бореше,anger
се бореше,fear
се бореше,sadness
бојното поле,fear
бајонет,anger
бајонет,fear
плажа,joy
зрак,joy
сјајно,anticipation
сјајно,joy
мечка,anger
мечка,fear
мечешки,anger
мечешки,fear
ѕвер,anger
ѕвер,fear
тивко,disgust
тивко,fear
тепа,anger
тепа,fear
тепа,sadness
разубавување,joy
разубавување,trust
убава,joy
разубават,joy
убавина,joy
темел,trust
пчела,anger
пчела,fear
пиво,joy
се спријатели,joy
се спријатели,trust
моли,sadness
просјак,sadness
започна,anticipation
бегемот,fear
верува,trust
верник,trust
верувајќи,trust
омаловажувај,anger
омаловажувај,disgust
омаловажувај,fear
омаловажувај,sadness
воинствена,anger
воинствена,fear
охладители,anger
појас,anger
појас,fear
добротвор,trust
добродушност,joy
добродушност,trust
бенигни,joy
остави,trust
ужалените,sadness
жалост,sadness
бесрамно,anger
бестијален,disgust
бестијален,fear
предавам,anger
предавам,disgust
предавам,sadness
предавам,surprise
предавство,anger
предавство,disgust
предавство,sadness
свршена,anticipation
свршена,joy
свршена,trust
внимавајте,anticipation
внимавајте,fear
збунет,fear
збунет,surprise
збунетост,fear
збунетост,surprise
пристрасност,anger
расправии,anger
расправии,disgust
биенале,anticipation
фанатик,anger
фанатик,disgust
фанатик,fear
фатално,anger
фатално,disgust
фатално,fear
фатално,sadness
жолчка,anger
жолчка,disgust
биопсија,fear
бреза,anger
бреза,disgust
бреза,fear
раѓање,anticipation
раѓање,fear
раѓање,joy
раѓање,trust
роденден,anticipation
роденден,joy
роденден,surprise
родно место,anger
кучка,anger
кучка,disgust
кучка,fear
кучка,sadness
горко,anger
горко,disgust
горко,sadness
горчина,anger
горчина,disgust
горчина,sadness
бизарно,surprise
уцена,anger
уцена,fear
црнилото,fear
црнилото,sadness
Вина,anger
Вина,disgust
ќебе,trust
богохулен,anger
богохулен,disgust
богохулство,anger
експлозија,anger
експлозија,fear
експлозија,surprise
бесрамно,disgust
пожар,anger
мрачна,sadness
крварење,disgust
крварење,fear
крварење,sadness
шкарт,anger
шкарт,disgust
шкарт,fear
шкарт,sadness
благослови,anticipation
благослови,joy
благослови,trust
благословен,joy
благослов,anticipation
благослов,joy
благослов,trust
благослови,surprise
лошо влијание,disgust
лошо влијание,fear
лошо влијание,sadness
заблудени,disgust
заблудени,sadness
врзани за очи,anticipation
врзани за очи,fear
врзани за очи,surprise
слепо,sadness
слепило,sadness
блаженство,joy
блажен,joy
блистер,disgust
Блиц,surprise
подуени,disgust
дупка,disgust
дупка,fear
блокада,anger
блокада,fear
блокада,sadness
крвопролевање,anger
крвопролевање,disgust
крвопролевање,fear
крвопролевање,sadness
крвопролевање,surprise
жедните,anger
жедните,disgust
жедните,fear
крвав,anger
крвав,disgust
крвав,fear
крвав,sadness
цут,anticipation
цут,joy
цут,trust
цвет,joy
сина,sadness
блуз,fear
блуз,sadness
грешка,disgust
грешка,sadness
табла,anticipation
телохранител,trust
лажен,anger
лажен,disgust
врие,disgust
весел,anger
весел,anticipation
весел,joy
бомба,anger
бомба,fear
бомба,sadness
бомба,surprise
бомбардирам,anger
бомбардирам,fear
бомбардирање,anger
бомбардирање,fear
бомбардиран,disgust
бомбаш,fear
бомбаш,sadness
bonanza,joy
ропство,fear
ропство,sadness
бонус,anticipation
бонус,joy
бонус,surprise
бумеранг,anticipation
бумеранг,trust
здодевност,sadness
пречеше,anger
пречеше,sadness
дното,sadness
без дно,fear
богат,anticipation
богат,joy
букет,joy
букет,trust
рунда,anger
говеда,disgust
црева,disgust
бокс,anger
трици,disgust
тепачка,anger
тепачка,disgust
тепачка,fear
безобразен,anger
пауза,surprise
мито,disgust
булчински,anticipation
булчински,joy
булчински,trust
невеста,anticipation
невеста,joy
невеста,trust
младоженец,anticipation
младоженец,joy
младоженец,trust
деверуша,joy
деверуша,trust
бригада,fear
осветли,joy
осветли,surprise
осветли,trust
брилијантен,anticipation
брилијантен,joy
брилијантен,trust
сулфур,anger
сулфур,fear
широк,anticipation
петел,anger
скрши,fear
скрши,sadness
скршен,anger
скршен,fear
скршен,sadness
бордел,disgust
брат,trust
братство,trust
братски,anticipation
братски,joy
братски,trust
модринка,anticipation
тежок товар,anger
брутално,anger
брутално,fear
бруталност,anger
бруталност,fear
брутален,anger
брутален,fear
брутален,sadness
долар,fear
долар,surprise
другар,anticipation
другар,joy
другар,trust
буџет,trust
бифе,anger
бубачка,disgust
бубачка,fear
бубачка,anticipation
силеџија,anger
силеџија,fear
скитам,disgust
скитам,sadness
bummer,anger
bummer,disgust
бункер,fear
оптоварен,fear
оптоварен,sadness
бирократија,trust
бирократ,disgust
крадец,disgust
крадец,fear
погреб,anger
погреб,fear
погреб,sadness
погребан,fear
погребан,sadness
бурке,anger
бурке,disgust
бурке,fear
бурке,sadness
бурлески,surprise
изгорен,disgust
bursary,trust
погребе,sadness
автобус,joy
разби,anger
разби,fear
Месар,anger
Месар,disgust
Месар,fear
Батлер,trust
зуи,anticipation
зуи,fear
Чао,anticipation
подзаконски акт,trust
кабала,fear
кабинет,trust
кабел,surprise
какофонија,anger
какофонија,disgust
cad,anger
cad,disgust
кадавер,disgust
кадавер,fear
кадавер,sadness
кадавер,surprise
кафез,sadness
пресметка,anticipation
калкулатор,trust
теле,joy
теле,trust
повици,anticipation
повици,trust
маскирна,surprise
кампања,anger
кампања,fear
откажете,sadness
рак,anger
рак,disgust
рак,fear
рак,sadness
искрен,anticipation
искрен,joy
искрен,surprise
искрен,trust
трска,anger
трска,fear
canker,anger
canker,disgust
канибал,disgust
канибал,fear
канибализам,disgust
канони,trust
капа,anticipation
капа,trust
очаровам,anticipation
очаровам,joy
очаровам,surprise
очаровам,trust
заробеник,fear
заробеник,sadness
заробеништво,sadness
каптор,fear
труп,disgust
труп,fear
труп,sadness
карцином,fear
карцином,sadness
кардиомиопатија,fear
кардиомиопатија,sadness
кариера,anticipation
негрижа,anger
негрижа,disgust
чувар,trust
кариес,disgust
масакр,anger
масакр,disgust
масакр,fear
масакр,sadness
масакр,surprise
месојади,fear
carol,joy
carol,trust
кертриџ,fear
случај,fear
случај,sadness
готовина,anger
готовина,anticipation
готовина,fear
готовина,joy
готовина,trust
благајник,trust
ковчег,fear
ковчег,sadness
жртва,anger
жртва,fear
жртва,sadness
катаракта,anticipation
катаракта,fear
катаракта,sadness
катастрофа,disgust
катастрофа,surprise
фати,surprise
катехизам,disgust
катедрала,joy
катедрала,trust
претпазливост,anger
претпазливост,anticipation
претпазливост,fear
предупредувачки,fear
претпазлив,anticipation
претпазлив,fear
претпазлив,trust
внимателно,fear
прослави,anticipation
прослави,joy
славејќи,anticipation
славејќи,joy
прослава,anticipation
прослава,joy
прослава,surprise
прослава,trust
славна личност,anger
славна личност,anticipation
славна личност,disgust
славна личност,joy
славна личност,surprise
славна личност,trust
небесен,anticipation
небесен,joy
цемент,anticipation
цемент,trust
гробишта,fear
гробишта,sadness
цензор,anger
цензор,disgust
цензор,fear
цензор,trust
центар,trust
церемонија,joy
церемонија,surprise
наплата,disgust
шега,anger
шега,fear
разочарување,disgust
разочарување,sadness
претседател,trust
претседателка,trust
предизвик,anger
предизвик,fear
шампион,anticipation
шампион,joy
шампион,trust
шанса,surprise
канцелар,trust
промена,fear
променлива,anticipation
променлива,surprise
пеење,anger
пеење,anticipation
пеење,joy
пеење,surprise
хаос,anger
хаос,fear
хаос,sadness
хаотичен,anger
капелан,trust
наплатлив,fear
наплатлив,sadness
добротворни,anticipation
добротворни,joy
добротворни,trust
добротворна организација,joy
шармиран,joy
шема,trust
бездна,fear
чистота,anticipation
чистота,trust
измамник,anger
измамник,disgust
контролна листа,trust
навиваат,anticipation
навиваат,joy
навиваат,surprise
навиваат,trust
весели,joy
весели,surprise
бодрост,anticipation
бодрост,joy
бодрост,trust
навива,joy
хемичар,trust
негувај,anticipation
негувај,joy
негувај,surprise
негувај,trust
шикан,anticipation
шикан,surprise
шикан,trust
пилешко,fear
дете,anticipation
дете,joy
детството,joy
химера,fear
химера,surprise
chirp,joy
чоколада,anticipation
чоколада,joy
чоколада,trust
хорот,joy
хорот,trust
задави,anger
задави,sadness
колера,disgust
колера,fear
колера,sadness
хорски,joy
хроничен,sadness
хроника,trust
се смееш,anticipation
се смееш,joy
се смееш,surprise
се смееш,trust
црква,anticipation
црква,joy
црква,trust
цивилизација,trust
цивилизиран,joy
цивилизиран,trust
тужителот,anger
тужителот,disgust
врева,anger
врева,anticipation
врева,disgust
врева,surprise
клан,trust
clap,anticipation
clap,joy
clap,trust
судир,anger
судир,fear
класици,joy
ноктот,anger
ноктот,fear
чист,joy
чист,trust
дозвола,trust
расцеп,fear
свештенички,trust
карпа,fear
климакс,anticipation
климакс,joy
климакс,surprise
климакс,trust
часовник,anticipation
блискост,joy
блискост,trust
затворање,anticipation
затворање,joy
затворање,sadness
заматен,sadness
облачност,fear
облачно,sadness
кловн,anticipation
кловн,joy
кловн,surprise
поим,anticipation
несмасен,disgust
тренер,trust
коалесцирање,trust
убедувам,trust
кобра,fear
кокаин,sadness
принудува,anger
принудува,disgust
принудува,fear
принуда,anger
принуда,disgust
принуда,fear
принуда,sadness
коегзистираат,trust
коегзистира,trust
ковчегот,fear
ковчегот,sadness
убедливо,trust
кохезија,trust
кохезивен,trust
случајност,surprise
студенило,anger
студенило,disgust
студенило,fear
студенило,sadness
колапс,disgust
колапс,fear
колапс,sadness
колатерал,trust
колективно,trust
заговор,anger
заговор,disgust
заговор,fear
заговор,sadness
полковник,trust
кома,fear
кома,sadness
коматозен,fear
коматозен,sadness
борба,anger
борба,fear
борбен,anger
борбен,fear
борбена,anger
борбена,fear
удобност,anticipation
удобност,joy
удобност,trust
доаѓаат,anticipation
командант,trust
командантот,trust
комеморација,anticipation
комеморација,joy
комеморација,sadness
комеморативна,anticipation
пофално,joy
пофално,trust
трговија,trust
комисија,trust
посветеност,sadness
посветена,trust
комитет,trust
commodore,trust
вообичаена,anticipation
вообичаена,trust
комонвелт,trust
мешање,anger
комуницира,trust
комуникација,trust
заедница,joy
заедница,trust
комунизмот,anger
комунизмот,fear
комунизмот,sadness
компактен,trust
придружник,joy
компас,trust
сочувство,fear
компензира,anticipation
компензира,joy
компензира,surprise
компензира,trust
компетентност,trust
компетентен,trust
конкуренција,anticipation
се жалат,anger
се жалат,sadness
жалба,anger
дополнување,anticipation
дополнување,joy
дополнување,surprise
дополнување,trust
завршувајќи,anticipation
завршувајќи,joy
завршување,anticipation
завршување,joy
усогласеност,trust
комплицира,anger
компост,disgust
компресира,anger
контролор,trust
скрие,sadness
сокриени,anticipation
сокриени,fear
сокриени,surprise
прикривање,anger
прикривање,anticipation
прикривање,fear
загрижени,fear
загрижени,sadness
помирување,joy
помирување,trust
соглас,trust
согласност,trust
потрес на мозокот,anger
потрес на мозокот,sadness
осуди,anger
осуда,anger
осуда,anticipation
осуда,disgust
осуда,fear
осуда,sadness
понижување,anger
понижување,disgust
понижување,sadness
сочувство,sadness
конфедерација,trust
признае,trust
исповед,anticipation
исповед,fear
исповед,sadness
исповед,surprise
исповед,trust
се исповеда,trust
доверба,fear
доверба,joy
доверба,trust
уверени,joy
уверени,trust
Доверливо,trust
ограничи,anger
ограничи,fear
ограничи,sadness
ограничени,anger
ограничени,disgust
ограничени,fear
ограничени,sadness
затвор,anger
затвор,fear
затвор,sadness
потврдено,trust
конфискувам,anger
конфискувам,sadness
пожар,fear
конфликт,anger
конфликт,fear
конфликт,sadness
сообразност,trust
се соочи,anger
конфузија,anger
конфузија,fear
конгломерат,trust
честитки,joy
општество,trust
конгрес,disgust
конгрес,trust
конгресмен,trust
конгруенција,trust
претпоставка,anticipation
апелирам,anticipation
апелирам,surprise
сврзувачки,trust
познавач,joy
познавач,trust
освојување,anger
освојување,fear
совеста,trust
совесна,trust
осветување,anticipation
осветување,joy
осветување,sadness
осветување,trust
последица,anticipation
конзервација,anticipation
конзервација,trust
конзистентност,trust
конзола,sadness
конспиратор,anger
конспиратор,anticipation
конспиратор,disgust
конспиратор,fear
конспирирам,fear
констебл,trust
постојаност,trust
постојана,trust
постојано,trust
вчудоневиденост,anger
вчудоневиденост,fear
запек,disgust
претставуваат,trust
уставно,trust
ограничување,anger
ограничување,fear
ограничување,sadness
конзул,trust
консултирајте се,trust
зараза,anticipation
зараза,disgust
зараза,fear
заразно,disgust
заразно,fear
загадуваат,disgust
контаминирани,disgust
контаминирани,fear
контаминирани,sadness
контаминација,disgust
презир,anger
презир,disgust
презир,fear
содржина,joy
содржина,trust
спорно,anger
спорно,disgust
спорно,fear
контингент,anticipation
продолжување,anticipation
продолжи,anticipation
продолжи,trust
шверц,anger
шверц,disgust
шверц,fear
контрадикторни,anger
контроверзен,anger
манастир,trust
конвергенција,anticipation
пренесување,trust
осуденик,anger
осуденик,disgust
осуденик,fear
осуденик,sadness
убеди,anticipation
убеди,trust
убеден,trust
coop,anger
coop,disgust
соработка,trust
полицаец,fear
полицаец,trust
копирај,anger
копирај,disgust
крунисување,joy
крунисување,trust
корпорација,trust
точноста,trust
преписка,anticipation
корозивни,fear
корумпиран,anger
корумпиран,disgust
корумпиран,fear
корумпиран,sadness
корупција,disgust
космополитски,trust
каучот,sadness
кашлица,disgust
совет,anticipation
советник,anger
советник,fear
брои,trust
одбројувањето,anticipation
сонародник,trust
округот,trust
државен удар,anger
државен удар,surprise
храбри,fear
Курир,trust
суд,anger
суд,anticipation
суд,fear
додворување,anticipation
додворување,joy
додворување,trust
залив,anticipation
залив,disgust
залив,fear
залив,joy
завет,trust
покритие,trust
кукавица,disgust
кукавица,fear
кукавица,sadness
кукавичлук,fear
кукавички,fear
coy,fear
којот,fear
crabby,anger
разбиена,anger
разбиена,fear
лулка,anticipation
лулка,joy
лулка,trust
грч,anticipation
чудно,anger
глупости,disgust
зарове,anticipation
жедни,anticipation
желба,anticipation
ползи,disgust
избрзани,anger
избрзани,fear
луд,anger
луд,fear
луд,sadness
крем,anticipation
крем,joy
крем,surprise
креирај,joy
суштество,disgust
суштество,fear
акредитивен,trust
кредибилитет,trust
веродостојна,trust
кредит,trust
притаен,anticipation
кремирање,sadness
крешендо,anticipation
крешендо,joy
крешендо,surprise
крешендо,trust
екипажот,trust
криминал,anger
криминалец,anger
криминалец,disgust
криминалец,fear
криминал,disgust
криминал,fear
работно време,disgust
работно време,fear
работно време,sadness
осакатена,fear
осакатена,sadness
свежи,trust
критики,anger
критики,sadness
критикуваат,anger
критикуваат,disgust
критикуваат,fear
критикуваат,sadness
critter,disgust
крокодил,fear
крстот,anger
крстот,fear
крстот,sadness
клоч,fear
свиткан,fear
крунисување,anticipation
крунисување,surprise
клучно,trust
распнување,anger
распнување,disgust
распнување,fear
распнување,sadness
сурова,disgust
сурово,anger
сурово,disgust
сурово,fear
сурово,sadness
суровост,anger
суровост,disgust
суровост,fear
суровост,sadness
се распаѓа,sadness
криза,anger
крстоносна војна,anger
крстоносна војна,fear
смачкана,anger
смачкана,disgust
смачкана,fear
смачкана,sadness
дробење,anger
дробење,disgust
дробење,fear
корка,disgust
плаче,sadness
крипта,fear
крипта,sadness
коцка,trust
рогоносец,disgust
умирам,joy
умирам,trust
знак,anticipation
кулинарски,trust
култ,fear
се посветам,anticipation
се посветам,trust
тежок,sadness
cupping,disgust
cupping,fear
cupping,sadness
cur,anger
cur,disgust
cur,fear
лекува,trust
љубопитност,anticipation
љубопитност,surprise
проклетство,anger
проклетство,disgust
проклетство,fear
проклетство,sadness
проколнати,anger
проколнати,fear
проколнати,sadness
пцуејќи,anger
пцуејќи,disgust
cussed,anger
притвор,trust
машина,fear
cutthroat,anger
cutthroat,fear
сечење,anger
сечење,disgust
сечење,fear
сечење,sadness
цијанид,fear
циклон,fear
циклон,surprise
циста,fear
циста,sadness
цистична,disgust
цитомегаловирус,sadness
dabbling,anger
dabbling,disgust
демон,anger
демон,disgust
демон,fear
демон,sadness
демон,surprise
дафт,disgust
нож,fear
дневно,anticipation
штета,anger
штета,disgust
штета,sadness
штети,sadness
dame,anger
dame,disgust
dame,trust
проклето,anger
проклето,disgust
танц,joy
танц,trust
леди,disgust
опасност,fear
опасност,sadness
опасно,fear
се осмелуваат,anticipation
се осмелуваат,trust
темно,sadness
Потемни,fear
Потемни,sadness
затемнет,fear
затемнет,sadness
темнина,anger
темнина,fear
темнина,sadness
мила,joy
мила,trust
стрела,fear
попарен,anger
попарен,fear
попарен,sadness
ќерка,joy
зората,anticipation
зората,joy
зората,surprise
зората,trust
ѓакон,trust
смртоносна,anger
смртоносна,disgust
смртоносна,fear
смртоносна,sadness
договор,anticipation
договор,joy
договор,surprise
зделки,trust
смрт,anger
смрт,anticipation
смрт,disgust
смрт,fear
смрт,sadness
смрт,surprise
дебакл,fear
дебакл,sadness
разврат,disgust
разврат,fear
задолжен,anticipation
остатоци,disgust
долг,sadness
распаѓање,fear
распаѓање,sadness
распаднати,disgust
распаднати,sadness
починатиот,sadness
измама,anger
измама,disgust
измама,fear
измама,sadness
измама,surprise
измамнички,disgust
измамнички,sadness
измами,anger
измами,disgust
измами,sadness
измамени,anger
залажувам,trust
разградува,disgust
распаднат,sadness
распаѓање,disgust
мамка,surprise
дери,anger
дело,trust
клевета,disgust
клевета,fear
клеветнички,anger
стандардно,disgust
стандардно,fear
стандардно,sadness
поразен,sadness
дефект,anger
дефектен,disgust
брани,fear
обвинетиот,anger
обвинетиот,fear
обвинетиот,sadness
бранеше,trust
бранител,trust
одбрана,anger
одбрана,anticipation
одбрана,fear
беспомошни,fear
беспомошни,sadness
почит,trust
пркос,anger
пркос,disgust
пркос,fear
пркосен,anger
дефинитивно,trust
издлаби,anger
издлаби,sadness
дефлација,fear
деформира,disgust
деформирани,disgust
деформирани,sadness
деформитет,disgust
деформитет,fear
деформитет,sadness
непостоечки,sadness
пркосат,anger
пркосат,fear
пркосат,sadness
пркосат,surprise
дегенерација,anger
дегенерација,disgust
